REGION;PROVINCIA;COMUNA;CIUDAD;CODIGO
ARICA Y PARINACOTA;ARICA;ARICA;ARICA;AP0101
ARICA Y PARINACOTA;ARICA;CAMARONES;ARICA;AP0102
ARICA Y PARINACOTA;PARINACOTA;PUTRE;PUTRE;AP0201
ARICA Y PARINACOTA;PARINACOTA;GENERAL LAGOS;PUTRE;AP0202
TARAPACA;IQUIQUE;IQUIQUE;IQUIQUE;TA0101
TARAPACA;IQUIQUE;ALTO HOSPICIO;IQUIQUE;TA0102
TARAPACA;TAMARUGAL;POZO ALMONTE;POZO ALMONTE;TA0201
TARAPACA;TAMARUGAL;CAMINA;POZO ALMONTE;TA0202
TARAPACA;TAMARUGAL;COLCHANE;POZO ALMONTE;TA0203
TARAPACA;TAMARUGAL;HUARA;POZO ALMONTE;TA0204
TARAPACA;TAMARUGAL;PICA;POZO ALMONTE;TA0205
ANTOFAGASTA;ANTOFAGASTA;ANTOFAGASTA;ANTOFAGASTA;AN0101
ANTOFAGASTA;ANTOFAGASTA;MEJILLONES;ANTOFAGASTA;AN0102
ANTOFAGASTA;ANTOFAGASTA;SIERRA GORDA;ANTOFAGASTA;AN0103
ANTOFAGASTA;ANTOFAGASTA;TALTAL;ANTOFAGASTA;AN0104
ANTOFAGASTA;EL LOA;CALAMA;CALAMA;AN0201
ANTOFAGASTA;EL LOA;OLLAGUE;CALAMA;AN0202
ANTOFAGASTA;EL LOA;SAN PEDRO DE ATACAMA;CALAMA;AN0203
ANTOFAGASTA;TOCOPILLA;TOCOPILLA;TOCOPILLA;AN0301
ANTOFAGASTA;TOCOPILLA;MARIA ELENA;TOCOPILLA;AN0302
ATACAMA;COPIAPO;COPIAPO;COPIAPO;AT0101
ATACAMA;COPIAPO;CALDERA;COPIAPO;AT0102
ATACAMA;COPIAPO;TIERRA AMARILLA;COPIAPO;AT0103
ATACAMA;CHANARAL;CHANARAL;CHANARAL;AT0201
ATACAMA;CHANARAL;DIEGO DE ALMAGRO;CHANARAL;AT0202
ATACAMA;HUASCO;VALLENAR;VALLENAR;AT0301
ATACAMA;HUASCO;ALTO DEL CARMEN;VALLENAR;AT0302
ATACAMA;HUASCO;FREIRINA;VALLENAR;AT0303
ATACAMA;HUASCO;HUASCO;VALLENAR;AT0304
COQUIMBO;ELQUI;LA SERENA;COQUIMBO;CO0101
COQUIMBO;ELQUI;COQUIMBO;COQUIMBO;CO0102
COQUIMBO;ELQUI;ANDACOLLO;COQUIMBO;CO0103
COQUIMBO;ELQUI;LA HIGUERA;COQUIMBO;CO0104
COQUIMBO;ELQUI;PAIGUANO;COQUIMBO;CO0105
COQUIMBO;ELQUI;VICUNA;COQUIMBO;CO0106
COQUIMBO;CHOAPA;ILLAPEL;ILLAPEL;CO0201
COQUIMBO;CHOAPA;CANELA;ILLAPEL;CO0202
COQUIMBO;CHOAPA;LOS VILOS;ILLAPEL;CO0203
COQUIMBO;CHOAPA;SALAMANCA;ILLAPEL;CO0204
COQUIMBO;LIMARI;OVALLE;OVALLE;CO0301
COQUIMBO;LIMARI;COMBARBALA;OVALLE;CO0302
COQUIMBO;LIMARI;MONTE PATRIA;OVALLE;CO0303
COQUIMBO;LIMARI;PUNITAQUI;OVALLE;CO0304
COQUIMBO;LIMARI;RIO HURTADO;OVALLE;CO0305
VALPARAISO;VALPARAISO;VALPARAISO;VALPARAISO;VS0101
VALPARAISO;VALPARAISO;CASABLANCA;VALPARAISO;VS0102
VALPARAISO;VALPARAISO;CONCON;VALPARAISO;VS0103
VALPARAISO;VALPARAISO;JUAN FERNANDEZ;VALPARAISO;VS0104
VALPARAISO;VALPARAISO;PUCHUNCAVI;VALPARAISO;VS0105
VALPARAISO;VALPARAISO;QUINTERO;VALPARAISO;VS0107
VALPARAISO;VALPARAISO;VINA DEL MAR;VALPARAISO;VS0109
VALPARAISO;ISLA DE PASCUA;ISLA DE PASCUA;HANGA ROA;VS0201
VALPARAISO;LOS ANDES;LOS ANDES;LOS ANDES;VS0301
VALPARAISO;LOS ANDES;CALLE LARGA;LOS ANDES;VS0302
VALPARAISO;LOS ANDES;RINCONADA;LOS ANDES;VS0303
VALPARAISO;LOS ANDES;SAN ESTEBAN;LOS ANDES;VS0304
VALPARAISO;PETORCA;LA LIGUA;LA LIGUA;VS0401
VALPARAISO;PETORCA;CABILDO;LA LIGUA;VS0402
VALPARAISO;PETORCA;PAPUDO;LA LIGUA;VS0403
VALPARAISO;PETORCA;PETORCA;LA LIGUA;VS0404
VALPARAISO;PETORCA;ZAPALLAR;LA LIGUA;VS0405
VALPARAISO;QUILLOTA;QUILLOTA;QUILLOTA;VS0501
